timestamp,freq_mhz,temp_c,load,cycles
1769538608.8222287,801.924,25,0.14,83802492
1769538610.8759596,800,26,0.14,83802575
1769538612.947773,800,28,0.14,83802655
1769538615.004099,851.627,27,0.21,83802745
1769538617.0744984,800.008,27,0.21,83802838
1769538619.1507328,800,27,0.19,83802933
1769538621.217956,800.064,29,0.19,83803026
1769538623.2769983,799.104,28,0.34,83803117
1769538625.3367689,800,27,0.34,83803210
1769538627.4144185,800,26,0.34,83803288
1769538629.4838812,844.333,27,0.39,83803379
1769538631.532412,800,26,0.39,83803468
1769538633.5875454,800,27,0.52,83803558
1769538635.6375067,800,42,0.52,83803651
1769538637.6699653,800,42,0.52,83803739
1769538639.7027988,800,34,0.56,83803826
1769538641.7334347,800,37,0.56,83803909
1769538643.765577,800,26,0.6,83803996
1769538645.8165085,800,30,0.6,83804079
1769538647.854343,800.544,28,0.6,83804166
1769538649.8970995,800,27,0.55,83804254
1769538651.9564273,800.016,26,0.55,83804315
1769538654.039192,800,26,0.5,83804328
1769538656.1193452,800,26,0.5,83804341
1769538658.1960294,800,25,0.46,83804353
1769538660.2772264,800,25,0.46,83804364
1769538662.3486419,800,26,0.46,83804377
1769538664.4289932,800,26,0.43,83804386
1769538666.503386,800,25,0.43,83804399
1769538668.5808237,800,26,0.39,83804409
1769538670.6579149,800.961,25,0.39,83804421
