file,rms,zero_crossings,peak,spectral_centroid,primes
complexity_lattice_key.wav,11582.5,1288,30781,644.0,"[2, 7, 13, 17, 19]"
24h_resource_plan.wav,13378.2,1854,32761,927.0,"[2, 7, 13, 17, 19]"
eco_unification.wav,16387.6,1167,32766,583.5,"[2, 3, 7, 13, 17, 19]"
bisimulation.wav,13377.7,1263,32736,631.5,"[2, 7, 13, 17, 19]"
c_syntax_harmonics.wav,16368.4,973,32757,486.5,"[2, 3, 13, 17]"
comprehend_lean_core.wav,16368.4,973,32757,486.5,"[2, 3, 13, 17]"
complexity_growth_proof.wav,11585.8,1807,32538,903.5,"[2, 7, 13, 17, 19]"
c_complexity_facts.wav,9472.4,1511,30184,755.5,"[7, 13, 17, 19]"
closed_loop_primes.wav,13378.3,1345,32713,672.5,"[2, 7, 13, 17, 19]"
automorphic_orbits.wav,16368.4,973,32757,486.5,"[2, 3, 13, 17]"
analyze_all_repos.wav,11582.5,1288,30781,644.0,"[2, 7, 13, 17, 19]"
c_complexity_lattice.wav,13370.7,1177,32721,588.5,"[2, 7, 13, 17, 19]"
consume_parquet_git_prolog.wav,13377.7,1263,32736,631.5,"[2, 7, 13, 17, 19]"
analyze_everything.wav,11578.8,1340,30732,670.0,"[2, 7, 13, 17, 19]"
compcert_monster.wav,23171.5,987,32767,493.5,"[2, 3, 5, 13, 17]"
dataset_complexity_binding.wav,13397.1,1132,32726,566.0,"[2, 7, 13, 17, 19]"
coq_of_rust_integration.wav,16387.6,1167,32766,583.5,"[2, 3, 7, 13, 17, 19]"
bott_k_theory.wav,16380.2,1376,32767,688.0,"[2, 3, 7, 13, 17, 19]"
all_repos.wav,23171.5,987,32767,493.5,"[2, 3, 5, 13, 17]"
consume_prolog_variants.wav,13402.0,1065,32624,532.5,"[2, 7, 13, 17, 19]"
bootstrap_proof.wav,13402.0,1065,32624,532.5,"[2, 7, 13, 17, 19]"
escher_loop.wav,16387.7,1550,32767,775.0,"[2, 3, 7, 13, 17, 19]"
analyze_all.wav,13382.4,1184,32560,592.0,"[2, 7, 13, 17, 19]"
coq_proof_harmonics.wav,23171.5,987,32767,493.5,"[2, 3, 5, 13, 17]"
