entity,cycles,instructions,cache_misses,time_ns
monster_prime/1,7442,11163,11,3576
monster_prime/1,799,1199,1,715
monster_prime/1,538,807,1,477
monster_prime/1,588,882,1,477
monster_prime/1,574,861,1,477
monster_prime/1,482,723,1,477
monster_prime/1,482,723,1,477
monster_prime/1,480,720,1,477
monster_prime/1,542,813,1,477
monster_prime/1,487,731,1,238
monster_prime/1,502,753,1,238
monster_prime/1,523,785,1,477
monster_prime/1,523,785,1,477
monster_prime/1,511,767,1,477
monster_prime/1,557,836,1,477
monster_prime/1,473,710,1,477
monster_prime/1,526,789,1,477
monster_prime/1,523,785,1,477
monster_prime/1,634,951,1,477
monster_prime/1,482,723,1,477
emoji_prime/2,6055,9083,9,2861
emoji_prime/2,646,969,1,477
emoji_prime/2,571,857,1,477
emoji_prime/2,667,1001,1,477
emoji_prime/2,545,818,1,477
emoji_prime/2,494,741,1,477
emoji_prime/2,530,795,1,477
emoji_prime/2,502,753,1,477
emoji_prime/2,502,753,1,477
emoji_prime/2,499,749,1,477
emoji_prime/2,494,741,1,477
emoji_prime/2,598,897,1,477
emoji_prime/2,557,836,1,477
emoji_prime/2,559,839,1,477
emoji_prime/2,660,990,1,477
emoji_prime/2,499,749,1,477
emoji_prime/2,499,749,1,477
emoji_prime/2,602,903,1,477
emoji_prime/2,619,929,1,477
emoji_prime/2,497,746,1,477
type_prime/2,7229,10844,11,3338
type_prime/2,650,975,1,477
type_prime/2,482,723,1,477
type_prime/2,590,885,1,477
type_prime/2,607,911,1,477
type_prime/2,564,846,1,477
type_prime/2,571,857,1,477
type_prime/2,583,875,1,477
type_prime/2,526,789,1,238
type_prime/2,607,911,1,477
type_prime/2,569,854,1,477
type_prime/2,554,831,1,477
type_prime/2,559,839,1,477
type_prime/2,566,849,1,477
type_prime/2,530,795,1,477
type_prime/2,523,785,1,477
type_prime/2,559,839,1,477
type_prime/2,554,831,1,238
type_prime/2,487,731,1,477
type_prime/2,598,897,1,477
