file,primes,signature,frequencies,emojis,harmonies
"24h_resource_plan.pl","[3,17,37]",1887,"[493.88,783.99,1318.51]","[⚡,🏗️,🔄]","[major_third,perfect_fourth,augmented_fifth]"
"all_repos.pl","[3]",3,"[493.88]","[⚡]","[major_third]"
"analyze_all.pl","[3,7,13]",273,"[493.88,587.33,698.46]","[⚡,🔀,👉]","[major_third,minor_seventh,major_sixth]"
"analyze_all_repos.pl","[2,3,7,19]",798,"[440.0,493.88,587.33,880.0]","[🔢,⚡,🔀,📊]","[root,major_third,minor_seventh,octave]"
"analyze_everything.pl","[2,3,13,19]",1482,"[440.0,493.88,698.46,880.0]","[🔢,⚡,👉,📊]","[root,major_third,major_sixth,octave]"
"automorphic_orbits.pl","[2,3]",6,"[440.0,493.88]","[🔢,⚡]","[root,major_third]"
"bisimulation.pl","[3,7,17]",357,"[493.88,587.33,783.99]","[⚡,🔀,🏗️]","[major_third,minor_seventh,perfect_fourth]"
"bootstrap_proof.pl","[3,5,7]",105,"[493.88,523.25,587.33]","[⚡,📦,🔀]","[major_third,perfect_fifth,minor_seventh]"
"bott_k_theory.pl","[3,13]",39,"[493.88,698.46]","[⚡,👉]","[major_third,major_sixth]"
"c_complexity_facts.pl","[2,3,5,7,13,37]",101010,"[440.0,493.88,523.25,587.33,698.46,1318.51]","[🔢,⚡,📦,🔀,👉,🔄]","[root,major_third,perfect_fifth,minor_seventh,major_sixth,augmented_fifth]"
"c_complexity_lattice.pl","[2,3,17]",102,"[440.0,493.88,783.99]","[🔢,⚡,🏗️]","[root,major_third,perfect_fourth]"
"closed_loop_primes.pl","[3,7,19]",399,"[493.88,587.33,880.0]","[⚡,🔀,📊]","[major_third,minor_seventh,octave]"
"compcert_monster.pl","[3]",3,"[493.88]","[⚡]","[major_third]"
"complexity_growth_proof.pl","[3,7,19,37]",14763,"[493.88,587.33,880.0,1318.51]","[⚡,🔀,📊,🔄]","[major_third,minor_seventh,octave,augmented_fifth]"
"complexity_lattice_key.pl","[2,3,7,19]",798,"[440.0,493.88,587.33,880.0]","[🔢,⚡,🔀,📊]","[root,major_third,minor_seventh,octave]"
"comprehend_lean_core.pl","[2,3]",6,"[440.0,493.88]","[🔢,⚡]","[root,major_third]"
"consume_parquet_git_prolog.pl","[3,7,17]",357,"[493.88,587.33,783.99]","[⚡,🔀,🏗️]","[major_third,minor_seventh,perfect_fourth]"
"consume_prolog_variants.pl","[3,5,7]",105,"[493.88,523.25,587.33]","[⚡,📦,🔀]","[major_third,perfect_fifth,minor_seventh]"
"coq_of_rust_integration.pl","[3,7]",21,"[493.88,587.33]","[⚡,🔀]","[major_third,minor_seventh]"
"coq_proof_harmonics.pl","[3]",3,"[493.88]","[⚡]","[major_third]"
"c_syntax_harmonics.pl","[2,3]",6,"[440.0,493.88]","[🔢,⚡]","[root,major_third]"
"dataset_complexity_binding.pl","[3,5,11]",165,"[493.88,523.25,659.25]","[⚡,📦,🎯]","[major_third,perfect_fifth,major_ninth]"
"eco_unification.pl","[3,7]",21,"[493.88,587.33]","[⚡,🔀]","[major_third,minor_seventh]"
"escher_loop.pl","[3,17]",51,"[493.88,783.99]","[⚡,🏗️]","[major_third,perfect_fourth]"
