path,type,prime
"audio_analyzer.rs",rust,2
"elf_complexity_23.rs",rust,2
"extract_noweb.rs",rust,2
"generate_clean_datasets.rs",rust,2
"24h_resource_plan.pl",prolog,71
"71_meme_mining.pl",prolog,71
"all_repos.pl",prolog,71
"analyze_all.pl",prolog,71
"analyze_all_repos.pl",prolog,71
"analyze_everything.pl",prolog,71
"automorphic_orbits.pl",prolog,71
"bisimulation.pl",prolog,71
"bootstrap_proof.pl",prolog,71
"bott_k_theory.pl",prolog,71
"c_complexity_facts.pl",prolog,71
"c_complexity_lattice.pl",prolog,71
"closed_loop_primes.pl",prolog,71
"compcert_monster.pl",prolog,71
"compiler_symphony.pl",prolog,71
"compile_to_music.pl",prolog,71
"complexity_growth_proof.pl",prolog,71
"complexity_lattice_key.pl",prolog,71
"comprehend_lean_core.pl",prolog,71
"consume_parquet_git_prolog.pl",prolog,71
"consume_prolog_variants.pl",prolog,71
"convert_emoji_patterns.pl",prolog,71
"coq_of_rust_integration.pl",prolog,71
"coq_proof_harmonics.pl",prolog,71
"c_syntax_harmonics.pl",prolog,71
"dataset_complexity_binding.pl",prolog,71
"eco_unification.pl",prolog,71
"escher_loop.pl",prolog,71
"eternal_fungus_spore.pl",prolog,71
"eternal_proof_loop.pl",prolog,71
"example_queries.pl",prolog,71
"expert_system_models.pl",prolog,71
"extract_file.pl",prolog,71
"extract_keywords_find_similar.pl",prolog,71
"extract_noweb.pl",prolog,71
"fail2llm.pl",prolog,71
"fifth_generation.pl",prolog,71
"find2pipelight.pl",prolog,71
"find_ocaml_kernel.pl",prolog,71
"find_producer.pl",prolog,71
"find_similar_plan_merge.pl",prolog,71
"flag_lattice.pl",prolog,71
"full_spectrum_press.pl",prolog,71
"galois_tower.pl",prolog,71
"galois_tower_unification.pl",prolog,71
"generate_audio.pl",prolog,71
"generate_hf_datasets.pl",prolog,71
"generate_latex_report.pl",prolog,71
"generate_lilypond.pl",prolog,71
"generate_literate_report.pl",prolog,71
"generate_minizinc.pl",prolog,71
"generate_score.pl",prolog,71
"generate_v3_literate.pl",prolog,71
"godel_programs.pl",prolog,71
"godel_visit.pl",prolog,71
"godel_wrapped.pl",prolog,71
"grand_unification.pl",prolog,71
"harmonic_complexity.pl",prolog,71
"hecke_pipeline.pl",prolog,71
"homomorphic_shards.pl",prolog,71
"horizontal_meme_transfer.pl",prolog,71
"infer_rust_producers.pl",prolog,71
"ingest_lean_json.pl",prolog,71
"ingest_mes.pl",prolog,71
"ingest_ocaml_perf.pl",prolog,71
"ingest_parquets_reasoning.pl",prolog,71
"label_compcert_files.pl",prolog,71
"label_source_with_traces.pl",prolog,71
"lift_ocaml_to_rust.pl",prolog,71
"lift_to_71_shards.pl",prolog,71
"lift_to_metacoq.pl",prolog,71
"lists_of_lists_meta.pl",prolog,71
"llm_activation_lattice.pl",prolog,71
"lmfdb_monster_model.pl",prolog,71
"map_code_to_monster_lattice.pl",prolog,71
"map_gcc_tree.pl",prolog,71
"maxwells_equations_software.pl",prolog,71
"mes_formalization.pl",prolog,71
"mes_in_prolog.pl",prolog,71
"meta_expert_system.pl",prolog,71
"meta_prolog_universal_lift.pl",prolog,71
"monitor_build_perf_ingest.pl",prolog,71
"monster_complexity_proof.pl",prolog,71
"monster_lattice_features.pl",prolog,71
"monster_port.pl",prolog,71
"multichain_anon_sampler.pl",prolog,71
"muselang.pl",prolog,71
"opcode_matrix.pl",prolog,71
"operation_monster_embedding.pl",prolog,71
"optimize_layout.pl",prolog,71
"oracle_24h.pl",prolog,71
"oracle_find_parquet_reader.pl",prolog,71
"oracle_find_syn_parser.pl",prolog,71
"oracle_git_history_mcts.pl",prolog,71
"oracle_load_real_data.pl",prolog,71
"oracle_map_filesystem.pl",prolog,71
"oracle_parquet_scanner.pl",prolog,71
"oracle_prove_lattice_real.pl",prolog,71
"oracle_substrace_syn_finder.pl",prolog,71
"parquet_expert.pl",prolog,71
"parquet_lists.pl",prolog,71
"parquet_macros.pl",prolog,71
"perf_data.pl",prolog,71
"perf_novelty_proof.pl",prolog,71
"phase2_self_regenerate.pl",prolog,71
"prime_23_elf_tools.pl",prolog,71
"prime71_universe.pl",prolog,71
"prime_abi_adapter.pl",prolog,71
"prime_harmonics.pl",prolog,71
"project_expert.pl",prolog,71
